ArrivalRound	Path	Order	FinalRoom
============================================================
0	initial 0	0	1
1	c 0 -> v 0 -> l 0	0	2
2	c 0 -> k 0 -> l 0 -> p 0	1	4
2	c 1 -> k 0 -> l 0 -> p 0	0	8
2	c 0 -> k 1 -> l 0 -> p 0	0	32
2	c 0 -> k 0 -> l 1 -> p 0	0	128
2	c 0 -> k 1 -> l 0 -> p 0	1	129
2	c 1 -> k 1 -> l 0 -> p 0	0	256
2	c 0 -> k 0 -> l 1 -> p 0	1	512
2	c 1 -> k 1 -> l 0 -> p 0	1	1025
2	c 0 -> k 0 -> l 0 -> p 1	0	2048
2	c 0 -> k 1 -> l 1 -> p 0	0	4096
2	c 1 -> k 0 -> l 1 -> p 0	1	4097
2	c 0 -> k 0 -> l 0 -> p 1	1	8192
2	c 0 -> k 1 -> l 1 -> p 0	1	16384
2	c 1 -> k 0 -> l 0 -> p 1	0	16385
2	c 1 -> k 1 -> l 1 -> p 0	0	32768
2	c 0 -> k 1 -> l 0 -> p 1	0	65536
2	c 1 -> k 0 -> l 0 -> p 1	1	65537
2	c 1 -> k 1 -> l 1 -> p 0	1	131072
2	c 0 -> k 0 -> l 0 -> p 2	0	177147
2	c 0 -> k 0 -> l 1 -> p 1	0	262144
2	c 1 -> k 1 -> l 0 -> p 1	0	524288
2	c 0 -> k 0 -> l 0 -> p 2	1	708588
2	c 0 -> k 0 -> l 1 -> p 1	1	1048576
2	c 1 -> k 0 -> l 1 -> p 1	0	2097152
2	c 1 -> k 1 -> l 0 -> p 1	1	2097153
2	c 0 -> k 0 -> l 0 -> p 3	0	4194304
2	c 0 -> k 1 -> l 1 -> p 1	0	8388608
2	c 1 -> k 0 -> l 1 -> p 1	1	8388609
2	c 0 -> k 0 -> l 0 -> p 3	1	16777216
2	c 0 -> k 1 -> l 1 -> p 1	1	33554432
2	c 0 -> k 0 -> l 0 -> p 3	2	37748736
2	c 0 -> k 0 -> l 0 -> p 4	0	48828125
2	c 0 -> k 0 -> l 0 -> p 3	3	67108864
2	c 1 -> k 1 -> l 1 -> p 1	0	67108865
2	c 0 -> k 0 -> l 0 -> p 3	4	104857600
2	c 0 -> k 0 -> l 0 -> p 3	5	150994944
2	c 0 -> k 0 -> l 0 -> p 4	1	195312500
2	c 0 -> k 0 -> l 0 -> p 3	6	205520896
2	c 0 -> k 0 -> l 0 -> p 3	7	268435456
2	c 1 -> k 1 -> l 1 -> p 1	1	268435457
2	c 0 -> k 0 -> l 0 -> p 3	8	339738624
2	c 0 -> k 0 -> l 0 -> p 5	0	362797056
2	c 0 -> k 0 -> l 0 -> p 3	9	419430400
2	c 0 -> k 0 -> l 0 -> p 3	10	507510784
2	c 0 -> k 0 -> l 0 -> p 3	11	603979776
2	c 0 -> k 0 -> l 0 -> p 3	12	708837376
2	c 0 -> k 0 -> l 0 -> p 3	13	822083584
2	c 0 -> k 0 -> l 0 -> p 3	14	943718400
2	c 0 -> k 0 -> l 0 -> p 3	15	1073741824
2	c 0 -> k 0 -> l 0 -> p 3	16	1212153856
2	c 0 -> k 0 -> l 0 -> p 3	17	1358954496
2	c 0 -> k 0 -> l 0 -> p 5	1	1451188224
2	c 0 -> k 0 -> l 0 -> p 3	18	1514143744
2	c 0 -> k 0 -> l 0 -> p 3	19	1677721600
2	c 0 -> k 0 -> l 0 -> p 3	20	1849688064
2	c 0 -> k 0 -> l 0 -> p 6	0	1977326743
2	c 0 -> k 0 -> l 0 -> p 3	21	2030043136
2	c 0 -> k 0 -> l 0 -> p 6	1	7909306972
2	c 0 -> k 0 -> l 0 -> p 7	0	8589934592
2	c 0 -> k 0 -> l 0 -> p 8	0	31381059609
2	c 0 -> k 0 -> l 0 -> p 7	1	34359738368
2	c 0 -> k 0 -> l 0 -> p 9	0	100000000000
2	c 0 -> k 0 -> l 0 -> p 8	1	125524238436
2	c 0 -> k 0 -> l 0 -> p 10	0	285311670611
2	c 0 -> k 0 -> l 0 -> p 9	1	400000000000
2	c 0 -> k 0 -> l 0 -> p 11	0	743008370688
2	c 0 -> k 0 -> l 0 -> p 10	1	1141246682444
2	c 0 -> k 0 -> l 0 -> p 12	0	1792160394037
2	c 0 -> k 0 -> l 0 -> p 11	1	2972033482752
2	c 0 -> k 0 -> l 0 -> p 13	0	4049565169664
2	c 0 -> k 0 -> l 0 -> p 12	1	7168641576148
2	c 0 -> k 0 -> l 0 -> p 14	0	8649755859375
2	c 0 -> k 0 -> l 0 -> p 13	1	16198260678656
2	c 0 -> k 0 -> l 0 -> p 15	0	17592186044416
2	c 0 -> k 0 -> l 0 -> p 16	0	34271896307633
2	c 0 -> k 0 -> l 0 -> p 14	1	34599023437500
2	c 0 -> k 0 -> l 0 -> p 17	0	64268410079232
2	c 0 -> k 0 -> l 0 -> p 15	1	70368744177664
2	c 0 -> k 0 -> l 0 -> p 18	0	116490258898219
2	c 0 -> k 0 -> l 0 -> p 16	1	137087585230532
2	c 0 -> k 0 -> l 0 -> p 19	0	204800000000000
2	c 0 -> k 0 -> l 0 -> p 17	1	257073640316928
2	c 0 -> k 0 -> l 0 -> p 20	0	350277500542221
2	c 0 -> k 0 -> l 0 -> p 18	1	465961035592876
2	c 0 -> k 0 -> l 0 -> p 21	0	584318301411328
2	c 0 -> k 0 -> l 0 -> p 19	1	819200000000000
2	c 0 -> k 0 -> l 0 -> p 20	1	1401110002168884
2	c 0 -> k 0 -> l 0 -> p 21	1	2337273205645312
